time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
11.75,787rb,0.00387,0.05000,7
11.75,79xf6,0.00275,0.05000,7
11.75,7wjxh,0.00285,0.05000,7
11.75,nkrrr,0.00280,0.05000,7
11.75,tskjt,0.00355,0.05000,7
11.75,xsc9d,0.00254,0.05000,7
11.75,zjflw,0.00326,0.05000,7
12.00,787rb,0.00354,0.05000,7
12.00,79xf6,0.00230,0.05000,7
12.00,7wjxh,0.00289,0.05000,7
12.00,nkrrr,0.00271,0.05000,7
12.00,tskjt,0.00319,0.05000,7
12.00,xsc9d,0.00322,0.05000,7
12.00,zjflw,0.00301,0.05000,7
12.25,787rb,0.00311,0.05000,7
12.25,79xf6,0.00217,0.05000,7
12.25,7wjxh,0.00341,0.05000,7
12.25,nkrrr,0.00257,0.05000,7
12.25,tskjt,0.00327,0.05000,7
12.25,xsc9d,0.00228,0.05000,7
12.25,zjflw,0.00250,0.05000,7
12.50,787rb,0.00316,0.05000,7
12.50,79xf6,0.00252,0.05000,7
12.50,7wjxh,0.00320,0.05000,7
12.50,nkrrr,0.00297,0.05000,7
12.50,tskjt,0.00356,0.05000,7
12.50,xsc9d,0.00244,0.05000,7
12.50,zjflw,0.00302,0.05000,7
12.75,787rb,0.00390,0.05000,7
12.75,79xf6,0.00288,0.05000,7
12.75,7wjxh,0.00277,0.05000,7
12.75,nkrrr,0.00305,0.05000,7
12.75,tskjt,0.00331,0.05000,7
12.75,xsc9d,0.00242,0.05000,7
12.75,zjflw,0.00257,0.05000,7
13.00,787rb,0.00352,0.05000,7
13.00,79xf6,0.00293,0.05000,7
13.00,7wjxh,0.00301,0.05000,7
13.00,nkrrr,0.00236,0.05000,7
13.00,tskjt,0.00315,0.05000,7
13.00,xsc9d,0.00273,0.05000,7
13.00,zjflw,0.00276,0.05000,7
13.25,787rb,0.00315,0.05000,7
13.25,79xf6,0.00284,0.05000,7
13.25,7wjxh,0.00346,0.05000,7
13.25,nkrrr,0.00231,0.05000,7
13.25,tskjt,0.00363,0.05000,7
13.25,xsc9d,0.00227,0.05000,7
13.25,zjflw,0.00315,0.05000,7
13.50,787rb,0.00385,0.05000,7
13.50,79xf6,0.00223,0.05000,7
13.50,7wjxh,0.00295,0.05000,7
13.50,nkrrr,0.00229,0.05000,7
13.50,tskjt,0.00319,0.05000,7
13.50,xsc9d,0.00272,0.05000,7
13.50,zjflw,0.00274,0.05000,7
13.75,787rb,0.00361,0.05000,6
13.75,79xf6,0.00303,0.05000,6
13.75,7wjxh,0.00329,0.05000,6
13.75,nkrrr,0.00316,0.05000,6
13.75,tskjt,0.00365,0.05000,6
13.75,xsc9d,0.00242,0.05000,6
13.75,zjflw,0.00258,0.05000,6
14.00,787rb,0.00354,0.05000,6
14.00,79xf6,0.00291,0.05000,6
14.00,7wjxh,0.00268,0.05000,6
14.00,nkrrr,0.00312,0.05000,6
14.00,tskjt,0.00359,0.05000,6
14.00,xsc9d,0.00253,0.05000,6
14.00,zjflw,0.00260,0.05000,6
14.25,787rb,0.00334,0.05000,3
14.25,79xf6,0.00299,0.05000,3
14.25,7wjxh,0.00331,0.05000,3
14.25,nkrrr,0.00241,0.05000,3
14.25,tskjt,0.00325,0.05000,3
14.25,xsc9d,0.00305,0.05000,3
14.25,zjflw,0.00237,0.05000,3
14.50,787rb,0.00338,0.05000,3
14.50,79xf6,0.00264,0.05000,3
14.50,7wjxh,0.00336,0.05000,3
14.50,nkrrr,0.00315,0.05000,3
14.50,tskjt,0.00352,0.05000,3
14.50,xsc9d,0.00244,0.05000,3
14.50,zjflw,0.00251,0.05000,3
14.75,787rb,0.00321,0.05000,1
14.75,79xf6,0.00303,0.05000,1
